No Records;Hazards;No hazards;Total deaths;Total affected;Total damages;Time lag;Spatial overlap
1;"[""fl""]";1;28.0;100.0;;91.0;0.5
1;"[""fl""]";1;;300.0;;91.0;0.5
5;"[""ew"", ""fl"", ""ew"", ""ew"", ""fl"", ""fl"", ""ew""]";7;257.0;4281974.0;;91.0;0.5
3;"[""fl"", ""fl"", ""ew""]";3;47.0;2479348.0;;91.0;0.5
2;"[""fl"", ""ew"", ""fl""]";3;;20504.0;12576340.0;91.0;0.5
1;"[""eq""]";1;;6000.0;;91.0;0.5
1;"[""fl""]";1;;600.0;;91.0;0.5
2;"[""ew"", ""ew"", ""fl"", ""ls""]";4;103.0;2102.0;484359.0;91.0;0.5
1;"[""fl""]";1;1.0;302.0;;91.0;0.5
1;"[""ew""]";1;1.0;;169951.0;91.0;0.5
1;"[""fl""]";1;4.0;;;91.0;0.5
1;"[""fl""]";1;;100.0;33990.0;91.0;0.5
5;"[""ew"", ""fl"", ""ew"", ""ew"", ""fl"", ""fl"", ""ew""]";7;197.0;3593590.0;;91.0;0.5
1;"[""ew""]";1;;5.0;;91.0;0.5
1;"[""ls""]";1;11.0;;;91.0;0.5
1;"[""eq""]";1;2.0;430.0;;91.0;0.5
1;"[""fl""]";1;2.0;7000.0;;91.0;0.5
1;"[""eq"", ""ts""]";2;2.0;5000.0;;91.0;0.5
1;"[""fl""]";1;;600.0;450369.0;91.0;0.5
1;"[""fl""]";1;3.0;300000.0;5099.0;91.0;0.5
2;"[""ew"", ""fl""]";2;51.0;25007.0;33991.0;91.0;0.5
1;"[""fl""]";1;;150000.0;;91.0;0.5
1;"[""ew""]";1;;;;91.0;0.5
1;"[""fl""]";1;12.0;8000.0;1700.0;91.0;0.5
1;"[""fl""]";1;51.0;808801.0;97722.0;91.0;0.5
2;"[""fl"", ""fl""]";2;;;;91.0;0.5
2;"[""dr"", ""eq""]";2;;;186946.0;91.0;0.5
2;"[""ew"", ""ew""]";2;14.0;1100.0;;91.0;0.5
1;"[""ew""]";1;;2600000.0;53704.0;91.0;0.5
1;"[""ew""]";1;4.0;6100.0;203941.0;91.0;0.5
1;"[""fl""]";1;100.0;386021.0;57783.0;91.0;0.5
5;"[""fl"", ""fl"", ""fl"", ""ew"", ""ew""]";5;;;;91.0;0.5
1;"[""fl""]";1;;;;91.0;0.5
1;"[""ew""]";1;48.0;164093.0;1700.0;91.0;0.5
1;"[""ew""]";1;4.0;600.0;;91.0;0.5
1;"[""fl""]";1;36.0;1817.0;;91.0;0.5
1;"[""ew""]";1;19.0;571000.0;;91.0;0.5
2;"[""dr"", ""ls""]";2;;;;91.0;0.5
1;"[""fl""]";1;12.0;1200.0;;91.0;0.5
1;"[""cw""]";1;84.0;;;91.0;0.5
1;"[""fl""]";1;;600.0;;91.0;0.5
1;"[""ew""]";1;7.0;2.0;;91.0;0.5
1;"[""ew""]";1;4.0;70.0;;91.0;0.5
1;"[""eq""]";1;11.0;;;91.0;0.5
1;"[""ew""]";1;;750.0;;91.0;0.5
1;"[""fl"", ""ls""]";2;13.0;2000.0;;91.0;0.5
3;"[""ew"", ""ew"", ""vo""]";3;;71300.0;;91.0;0.5
1;"[""ls""]";1;15.0;;;91.0;0.5
1;"[""fl""]";1;6.0;650.0;;91.0;0.5
1;"[""fl""]";1;2.0;675.0;;91.0;0.5
1;"[""ew""]";1;;100.0;;91.0;0.5
1;"[""fl""]";1;;500.0;;91.0;0.5
1;"[""ew""]";1;;;;91.0;0.5
1;"[""fl""]";1;;600.0;;91.0;0.5
1;"[""fl""]";1;;2000.0;;91.0;0.5
2;"[""fl"", ""ew""]";2;15.0;;;91.0;0.5
1;"[""ew""]";1;4.0;10.0;;91.0;0.5
1;"[""dr""]";1;;100000.0;;91.0;0.5
1;"[""fl""]";1;41.0;357250.0;199988.0;91.0;0.5
1;"[""cw""]";1;125.0;;;91.0;0.5
2;"[""fl"", ""fl""]";2;12.0;6450.0;;91.0;0.5
1;"[""dr""]";1;;;;91.0;0.5
1;"[""dr""]";1;;;;91.0;0.5
