Event1;Event2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2000-0446-THA;2000-0539-THA;19927.0;0.19;0.81;0.81;2000-07-01 00:00:00+00:00;2000-08-21 00:00:00+00:00;51.0
2000-0447-JPN;2000-0515-JPN;2738.0;1.0;1.0;1.0;2000-07-08 00:00:00+00:00;2000-08-10 00:00:00+00:00;33.0
2000-0449-IDN;2000-0791-IDN;2148.0;1.0;0.01;1.0;2000-07-12 00:00:00+00:00;2000-12-03 00:00:00+00:00;144.0
2000-0466-BRA;2000-0590-BRA;674.0;0.01;1.0;1.0;2000-07-30 00:00:00+00:00;2000-09-16 00:00:00+00:00;48.0
2000-0471-JOR;2000-9327-JOR;9938.0;1.0;0.08;1.0;2000-07-01 00:00:00+00:00;2000-08-01 00:00:00+00:00;31.0
2000-0472-CHN;2000-0556-CHN;6931.0;0.01;1.0;1.0;2000-07-11 00:00:00+00:00;2000-08-01 00:00:00+00:00;21.0
2000-0478-RUS;2000-0480-RUS;5.0;0.0;1.0;1.0;2000-07-30 00:00:00+00:00;2000-08-04 00:00:00+00:00;5.0
2000-0478-RUS;2000-0612-RUS;531309.0;0.18;1.0;1.0;2000-07-30 00:00:00+00:00;2000-09-18 00:00:00+00:00;50.0
2000-0480-RUS;2000-0612-RUS;5.0;1.0;0.0;1.0;2000-08-04 00:00:00+00:00;2000-09-18 00:00:00+00:00;45.0
2000-0502-USA;2000-0937-USA;205253.0;1.0;0.15;1.0;2000-07-30 00:00:00+00:00;2000-12-16 00:00:00+00:00;139.0
2000-0515-JPN;2001-0085-JPN;2738.0;1.0;0.12;1.0;2000-08-10 00:00:00+00:00;2001-01-20 00:00:00+00:00;163.0
2000-0517-TWN;2000-0706-TWN;3669.0;1.0;0.42;1.0;2000-08-22 00:00:00+00:00;2000-11-01 00:00:00+00:00;71.0
2000-0518-VNM;2000-0748-VNM;33763.0;0.79;0.61;0.79;2000-08-20 00:00:00+00:00;2000-11-18 00:00:00+00:00;90.0
2000-0527-CHN;2000-0559-CHN;5218.0;0.01;1.0;1.0;2000-08-21 00:00:00+00:00;2000-08-13 00:00:00+00:00;8.0
2000-0535-KOR;2000-0550-KOR;25207.0;0.42;0.9;0.9;2000-08-26 00:00:00+00:00;2000-08-31 00:00:00+00:00;5.0
2000-0547-NGA;2000-0596-NGA;3197.0;0.09;1.0;1.0;2000-08-15 00:00:00+00:00;2000-09-01 00:00:00+00:00;17.0
