Event1;Event2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2016-0032-ECU;2016-0039-ECU;589.0;0.01;1.0;1.0;2016-01-01 00:00:00+00:00;2016-01-24 00:00:00+00:00;23.0
2016-0033-BRA;2016-0077-BRA;1083.0;0.0;0.02;0.02;2016-01-09 00:00:00+00:00;2016-03-10 00:00:00+00:00;61.0
2016-0038-CHN;2016-0137-CHN;648165.0;1.0;0.27;1.0;2016-01-26 00:00:00+00:00;2016-04-20 00:00:00+00:00;85.0
2016-0041-TON;2016-0141-TON;250.0;1.0;0.3;1.0;2016-02-19 00:00:00+00:00;2016-04-07 00:00:00+00:00;48.0
2016-0057-IDN;2016-0092-IDN;38534.0;0.44;0.12;0.44;2016-02-19 00:00:00+00:00;2016-03-07 00:00:00+00:00;17.0
2016-0085-USA;2016-0124-USA;6193.0;0.0;1.0;1.0;2016-03-04 00:00:00+00:00;2016-04-16 00:00:00+00:00;43.0
2016-0085-USA;2016-0170-USA;948521.0;0.3;1.0;1.0;2016-03-04 00:00:00+00:00;2016-04-30 00:00:00+00:00;57.0
2016-0085-USA;2016-0181-USA;948521.0;0.3;0.29;0.3;2016-03-04 00:00:00+00:00;2016-05-21 00:00:00+00:00;78.0
2016-0085-USA;2016-0183-USA;1428208.0;0.45;0.67;0.67;2016-03-04 00:00:00+00:00;2016-05-27 00:00:00+00:00;84.0
2016-0085-USA;2016-0550-USA;1597065.0;0.51;0.53;0.53;2016-03-04 00:00:00+00:00;2016-04-24 00:00:00+00:00;51.0
2016-0085-USA;2016-0552-USA;549134.0;0.17;1.0;1.0;2016-03-04 00:00:00+00:00;2016-03-08 00:00:00+00:00;4.0
2016-0088-AGO;2016-0247-AGO;56498.0;1.0;0.41;1.0;2016-03-03 00:00:00+00:00;2016-03-01 00:00:00+00:00;2.0
2016-0100-PAK;2016-0112-PAK;116454.0;0.53;0.85;0.85;2016-04-10 00:00:00+00:00;2016-04-02 00:00:00+00:00;8.0
2016-0100-PAK;2016-0229-PAK;111723.0;0.51;0.68;0.68;2016-04-10 00:00:00+00:00;2016-06-01 00:00:00+00:00;52.0
2016-0100-PAK;2016-0240-PAK;21941.0;0.1;1.0;1.0;2016-04-10 00:00:00+00:00;2016-07-03 00:00:00+00:00;84.0
2016-0100-PAK;2016-0553-PAK;215237.0;0.98;0.22;0.98;2016-04-10 00:00:00+00:00;2016-03-09 00:00:00+00:00;32.0
2016-0101-ETH;2016-0186-ETH;60339.0;0.09;1.0;1.0;2016-04-02 00:00:00+00:00;2016-05-09 00:00:00+00:00;37.0
2016-0105-SAU;2016-0120-SAU;247590.0;0.28;0.95;0.95;2016-04-08 00:00:00+00:00;2016-04-08 00:00:00+00:00;0.0
2016-0107-JPN;2016-0121-JPN;10690.0;1.0;0.26;1.0;2016-04-14 00:00:00+00:00;2016-04-16 00:00:00+00:00;2.0
2016-0107-JPN;2016-0221-JPN;10690.0;1.0;1.0;1.0;2016-04-14 00:00:00+00:00;2016-06-20 00:00:00+00:00;67.0
2016-0112-AFG;2016-0135-AFG;25974.0;0.34;0.21;0.34;2016-04-02 00:00:00+00:00;2016-04-16 00:00:00+00:00;14.0
2016-0112-PAK;2016-0229-PAK;33270.0;0.24;0.2;0.24;2016-04-02 00:00:00+00:00;2016-06-01 00:00:00+00:00;60.0
2016-0112-PAK;2016-0553-PAK;136784.0;1.0;0.14;1.0;2016-04-02 00:00:00+00:00;2016-03-09 00:00:00+00:00;24.0
2016-0117-ECU;2016-0151-ECU;2243.0;0.1;0.13;0.13;2016-04-16 00:00:00+00:00;2016-05-18 00:00:00+00:00;32.0
2016-0121-JPN;2016-0221-JPN;10690.0;0.26;1.0;1.0;2016-04-16 00:00:00+00:00;2016-06-20 00:00:00+00:00;65.0
2016-0124-USA;2016-0170-USA;6193.0;1.0;0.01;1.0;2016-04-16 00:00:00+00:00;2016-04-30 00:00:00+00:00;14.0
2016-0124-USA;2016-0181-USA;6193.0;1.0;0.0;1.0;2016-04-16 00:00:00+00:00;2016-05-21 00:00:00+00:00;35.0
2016-0124-USA;2016-0183-USA;6193.0;1.0;0.0;1.0;2016-04-16 00:00:00+00:00;2016-05-27 00:00:00+00:00;41.0
2016-0124-USA;2016-0550-USA;6193.0;1.0;0.0;1.0;2016-04-16 00:00:00+00:00;2016-04-24 00:00:00+00:00;8.0
2016-0126-HTI;2016-0185-HTI;184.0;0.23;0.09;0.23;2016-04-23 00:00:00+00:00;2016-05-26 00:00:00+00:00;33.0
2016-0133-IND;2016-0234-IND;10694.0;0.01;1.0;1.0;2016-04-01 00:00:00+00:00;2016-06-12 00:00:00+00:00;72.0
2016-0133-IND;2016-0237-IND;516641.0;0.36;0.58;0.58;2016-04-01 00:00:00+00:00;2016-06-20 00:00:00+00:00;80.0
2016-0137-CHN;2016-0162-CHN;2089663.0;0.87;0.73;0.87;2016-04-20 00:00:00+00:00;2016-05-04 00:00:00+00:00;14.0
2016-0137-CHN;2016-0194-CHN;1355040.0;0.56;0.67;0.67;2016-04-20 00:00:00+00:00;2016-05-18 00:00:00+00:00;28.0
2016-0137-CHN;2016-0198-CHN;1546285.0;0.64;0.7;0.7;2016-04-20 00:00:00+00:00;2016-05-21 00:00:00+00:00;31.0
2016-0137-CHN;2016-0233-CHN;2154176.0;0.89;0.74;0.89;2016-04-20 00:00:00+00:00;2016-06-09 00:00:00+00:00;50.0
2016-0137-CHN;2016-0236-CHN;2196124.0;0.91;0.43;0.91;2016-04-20 00:00:00+00:00;2016-06-18 00:00:00+00:00;59.0
2016-0137-CHN;2016-0238-CHN;1274991.0;0.53;0.47;0.53;2016-04-20 00:00:00+00:00;2016-06-23 00:00:00+00:00;64.0
2016-0137-CHN;2016-0241-CHN;1908696.0;0.79;0.62;0.79;2016-04-20 00:00:00+00:00;2016-06-28 00:00:00+00:00;69.0
2016-0137-CHN;2016-0250-CHN;33929.0;0.01;1.0;1.0;2016-04-20 00:00:00+00:00;2016-07-01 00:00:00+00:00;72.0
2016-0137-CHN;2016-0256-CHN;152067.0;0.06;1.0;1.0;2016-04-20 00:00:00+00:00;2016-07-09 00:00:00+00:00;80.0
2016-0137-CHN;2016-0536-CHN;474026.0;0.2;1.0;1.0;2016-04-20 00:00:00+00:00;2016-05-18 00:00:00+00:00;28.0
2016-0139-IND;2016-0239-IND;203846.0;0.91;0.91;0.91;2016-04-22 00:00:00+00:00;2016-06-25 00:00:00+00:00;64.0
2016-0139-IND;2016-0554-IND;7994.0;0.04;1.0;1.0;2016-04-22 00:00:00+00:00;2016-07-17 00:00:00+00:00;86.0
2016-0162-CHN;2016-0194-CHN;1887871.0;0.66;0.94;0.94;2016-05-04 00:00:00+00:00;2016-05-18 00:00:00+00:00;14.0
2016-0162-CHN;2016-0198-CHN;2007448.0;0.7;0.91;0.91;2016-05-04 00:00:00+00:00;2016-05-21 00:00:00+00:00;17.0
2016-0162-CHN;2016-0233-CHN;2602403.0;0.91;0.89;0.91;2016-05-04 00:00:00+00:00;2016-06-09 00:00:00+00:00;36.0
2016-0162-CHN;2016-0236-CHN;2644352.0;0.93;0.51;0.93;2016-05-04 00:00:00+00:00;2016-06-18 00:00:00+00:00;45.0
2016-0162-CHN;2016-0238-CHN;1846611.0;0.65;0.67;0.67;2016-05-04 00:00:00+00:00;2016-06-23 00:00:00+00:00;50.0
2016-0162-CHN;2016-0241-CHN;2480316.0;0.87;0.81;0.87;2016-05-04 00:00:00+00:00;2016-06-28 00:00:00+00:00;55.0
2016-0162-CHN;2016-0250-CHN;33929.0;0.01;1.0;1.0;2016-05-04 00:00:00+00:00;2016-07-01 00:00:00+00:00;58.0
2016-0162-CHN;2016-0256-CHN;28675.0;0.01;0.19;0.19;2016-05-04 00:00:00+00:00;2016-07-09 00:00:00+00:00;66.0
2016-0162-CHN;2016-0371-CHN;211993.0;0.07;1.0;1.0;2016-05-04 00:00:00+00:00;2016-08-02 00:00:00+00:00;90.0
2016-0162-CHN;2016-0536-CHN;474026.0;0.17;1.0;1.0;2016-05-04 00:00:00+00:00;2016-05-18 00:00:00+00:00;14.0
2016-0170-USA;2016-0181-USA;948521.0;1.0;0.29;1.0;2016-04-30 00:00:00+00:00;2016-05-21 00:00:00+00:00;21.0
2016-0170-USA;2016-0183-USA;948521.0;1.0;0.44;1.0;2016-04-30 00:00:00+00:00;2016-05-27 00:00:00+00:00;27.0
2016-0170-USA;2016-0550-USA;948521.0;1.0;0.31;1.0;2016-04-30 00:00:00+00:00;2016-04-24 00:00:00+00:00;6.0
2016-0170-USA;2016-0552-USA;3404.0;0.0;0.01;0.01;2016-04-30 00:00:00+00:00;2016-03-08 00:00:00+00:00;53.0
2016-0181-USA;2016-0183-USA;1297011.0;0.4;0.61;0.61;2016-05-21 00:00:00+00:00;2016-05-27 00:00:00+00:00;6.0
2016-0181-USA;2016-0292-USA;1242930.0;0.38;0.62;0.62;2016-05-21 00:00:00+00:00;2016-08-09 00:00:00+00:00;80.0
2016-0181-USA;2016-0550-USA;1591420.0;0.49;0.53;0.53;2016-05-21 00:00:00+00:00;2016-04-24 00:00:00+00:00;27.0
2016-0181-USA;2016-0552-USA;3404.0;0.0;0.01;0.01;2016-05-21 00:00:00+00:00;2016-03-08 00:00:00+00:00;74.0
2016-0183-USA;2016-0292-USA;948521.0;0.44;0.47;0.47;2016-05-27 00:00:00+00:00;2016-08-09 00:00:00+00:00;74.0
2016-0183-USA;2016-0550-USA;1929090.0;0.9;0.64;0.9;2016-05-27 00:00:00+00:00;2016-04-24 00:00:00+00:00;33.0
2016-0183-USA;2016-0552-USA;208666.0;0.1;0.38;0.38;2016-05-27 00:00:00+00:00;2016-03-08 00:00:00+00:00;80.0
2016-0189-MMR;2016-0232-MMR;42132.0;1.0;0.09;1.0;2016-04-29 00:00:00+00:00;2016-06-01 00:00:00+00:00;33.0
2016-0189-MMR;2016-0369-MMR;42132.0;1.0;0.1;1.0;2016-04-29 00:00:00+00:00;2016-07-01 00:00:00+00:00;63.0
2016-0191-TJK;2016-0251-TJK;7757.0;0.25;1.0;1.0;2016-05-09 00:00:00+00:00;2016-07-01 00:00:00+00:00;53.0
2016-0194-CHN;2016-0198-CHN;1149433.0;0.57;0.52;0.57;2016-05-18 00:00:00+00:00;2016-05-21 00:00:00+00:00;3.0
2016-0194-CHN;2016-0233-CHN;2011264.0;1.0;0.69;1.0;2016-05-18 00:00:00+00:00;2016-06-09 00:00:00+00:00;22.0
2016-0194-CHN;2016-0236-CHN;1799271.0;0.89;0.35;0.89;2016-05-18 00:00:00+00:00;2016-06-18 00:00:00+00:00;31.0
2016-0194-CHN;2016-0238-CHN;878138.0;0.44;0.32;0.44;2016-05-18 00:00:00+00:00;2016-06-23 00:00:00+00:00;36.0
2016-0194-CHN;2016-0241-CHN;1647204.0;0.82;0.54;0.82;2016-05-18 00:00:00+00:00;2016-06-28 00:00:00+00:00;41.0
2016-0194-CHN;2016-0250-CHN;33929.0;0.02;1.0;1.0;2016-05-18 00:00:00+00:00;2016-07-01 00:00:00+00:00;44.0
2016-0194-CHN;2016-0256-CHN;152067.0;0.08;1.0;1.0;2016-05-18 00:00:00+00:00;2016-07-09 00:00:00+00:00;52.0
2016-0194-CHN;2016-0371-CHN;211993.0;0.11;1.0;1.0;2016-05-18 00:00:00+00:00;2016-08-02 00:00:00+00:00;76.0
2016-0194-CHN;2016-0373-CHN;1515166.0;0.75;0.23;0.75;2016-05-18 00:00:00+00:00;2016-08-04 00:00:00+00:00;78.0
2016-0194-CHN;2016-0376-CHN;1433538.0;0.71;0.71;0.71;2016-05-18 00:00:00+00:00;2016-08-05 00:00:00+00:00;79.0
2016-0194-CHN;2016-0536-CHN;5312.0;0.0;0.01;0.01;2016-05-18 00:00:00+00:00;2016-05-18 00:00:00+00:00;0.0
2016-0195-IND;2016-0239-IND;20542.0;0.28;0.09;0.28;2016-05-22 00:00:00+00:00;2016-06-25 00:00:00+00:00;34.0
2016-0198-CHN;2016-0233-CHN;1948569.0;0.88;0.67;0.88;2016-05-21 00:00:00+00:00;2016-06-09 00:00:00+00:00;19.0
2016-0198-CHN;2016-0236-CHN;2202510.0;1.0;0.43;1.0;2016-05-21 00:00:00+00:00;2016-06-18 00:00:00+00:00;28.0
2016-0198-CHN;2016-0238-CHN;1931215.0;0.88;0.71;0.88;2016-05-21 00:00:00+00:00;2016-06-23 00:00:00+00:00;33.0
2016-0198-CHN;2016-0241-CHN;2067149.0;0.94;0.68;0.94;2016-05-21 00:00:00+00:00;2016-06-28 00:00:00+00:00;38.0
2016-0198-CHN;2016-0250-CHN;33929.0;0.02;1.0;1.0;2016-05-21 00:00:00+00:00;2016-07-01 00:00:00+00:00;41.0
2016-0198-CHN;2016-0373-CHN;1872088.0;0.85;0.29;0.85;2016-05-21 00:00:00+00:00;2016-08-04 00:00:00+00:00;75.0
2016-0198-CHN;2016-0376-CHN;1618147.0;0.73;0.8;0.8;2016-05-21 00:00:00+00:00;2016-08-05 00:00:00+00:00;76.0
2016-0198-CHN;2016-0536-CHN;474026.0;0.22;1.0;1.0;2016-05-21 00:00:00+00:00;2016-05-18 00:00:00+00:00;3.0
2016-0203-USA;2016-0292-USA;417968.0;0.34;0.21;0.34;2016-06-22 00:00:00+00:00;2016-08-09 00:00:00+00:00;48.0
2016-0203-USA;2016-0331-USA;221241.0;0.18;0.2;0.2;2016-06-22 00:00:00+00:00;2016-09-19 00:00:00+00:00;89.0
2016-0203-USA;2016-0550-USA;625578.0;0.51;0.21;0.51;2016-06-22 00:00:00+00:00;2016-04-24 00:00:00+00:00;59.0
2016-0209-CHN;2016-0235-CHN;3564550.0;0.97;1.0;1.0;2016-06-24 00:00:00+00:00;2016-06-16 00:00:00+00:00;8.0
