;Records;No records;Hazards;No hazards
2000-0518-VNM;"[""2000-0518-VNM""]";1;"[""ew""]";1
2000-0558-NZL;"[""2000-0558-NZL""]";1;"[""fl""]";1
2000-0539-THA;"[""2000-0539-THA""]";1;"[""ew""]";1
2000-0527-CHN;"[""2000-0559-CHN"", ""2000-0527-CHN""]";2;"[""ls"", ""eq""]";2
2000-0517-TWN;"[""2000-0517-TWN""]";1;"[""ew""]";1
2000-0533-CHN;"[""2000-0533-CHN""]";1;"[""ew""]";1
2000-0534-IND;"[""2000-0445-IND"", ""2000-0534-IND""]";2;"[""fl"", ""fl""]";2
2000-0542-VNM;"[""2000-0542-VNM""]";1;"[""ew""]";1
2000-0540-VNM;"[""2000-0540-VNM""]";1;"[""ew""]";1
2000-0541-VNM;"[""2000-0541-VNM""]";1;"[""ew""]";1
2000-0530-MLI;"[""2000-0530-MLI""]";1;"[""fl""]";1
2000-0535-KOR;"[""2000-0535-KOR""]";1;"[""fl""]";1
2000-0549-RUS;"[""2000-0549-RUS""]";1;"[""fl""]";1
2000-0555-BGD;"[""2000-0555-BGD""]";1;"[""fl""]";1
2000-0550-KOR;"[""2000-0535-KOR"", ""2000-0550-KOR""]";2;"[""fl"", ""ew""]";2
2000-0617-BGD;"[""2000-0617-BGD""]";1;"[""fl""]";1
2000-0557-CHN;"[""2000-9626-CHN"", ""2000-0557-CHN""]";2;"[""dr"", ""ew"", ""fl""]";3
2000-0607-ARG;"[""2000-0607-ARG""]";1;"[""ew""]";1
2000-0777-THA;"[""2000-0777-THA""]";1;"[""fl""]";1
2000-0596-NGA;"[""2000-0547-NGA"", ""2000-0596-NGA""]";2;"[""fl"", ""fl""]";2
2000-9626-CHN;"[""2000-0557-CHN"", ""2000-9626-CHN""]";2;"[""ew"", ""fl"", ""dr""]";3
2000-0627-PAN;"[""2000-0627-PAN""]";1;"[""fl""]";1
2000-0583-LAO;"[""2000-0583-LAO""]";1;"[""fl""]";1
2000-0598-USA;"[""2000-0598-USA""]";1;"[""eq""]";1
2000-0597-PHL;"[""2000-0597-PHL""]";1;"[""fl"", ""fl""]";2
2000-0595-SLV;"[""2000-0595-SLV""]";1;"[""fl""]";1
2000-0605-CHN;"[""2000-0605-CHN""]";1;"[""ew""]";1
