Events;No events;Hazards;No hazards;Total deaths;Total affected;Total damages;Time lag;Spatial overlap
['2000-0200-CHN', '2000-0302-CHN', '2000-0326-CHN', '2000-0472-CHN', '2000-0426-CHN'];5;"[""fl"", ""fl"", ""ls"", ""fl"", ""ls"", ""fl""]";6;377.0;;;182;1
['2000-0164-RUS', '2000-0165-RUS', '2000-0277-RUS', '2000-0457-RUS'];4;"[""ls"", ""cw"", ""cw"", ""ls""]";4;;;;182;1
['2000-0439-VNM'];1;"[""ls""]";1;33.0;22.0;;182;1
['2000-0337-UKR', '2000-0603-UKR'];2;"[""cw"", ""ew""]";2;;;;182;1
['2000-0463-USA'];1;"[""ew""]";1;1.0;1035.0;13766.0;182;1
['2000-0507-SEN'];1;"[""fl""]";1;;;;182;1
['2000-9494-UZB'];1;"[""dr""]";1;;600000.0;84975.0;182;1
['2000-0471-JOR', '2000-9327-JOR'];2;"[""hw"", ""dr""]";2;;150012.0;;182;1
['2000-0487-MAR'];1;"[""hw""]";1;;;1375.0;182;1
['2000-9537-BIH'];1;"[""dr"", ""hw""]";2;;;268522.0;182;1
['2000-0532-CHN'];1;"[""ew""]";1;10.0;30.0;22583.0;182;1
['2000-0472-CHN', '2000-0556-CHN'];2;"[""fl"", ""ls"", ""ew""]";3;207.0;55984.0;292332.0;182;1
['2000-9495-GEO'];1;"[""dr""]";1;;696000.0;339901.0;182;1
['2000-0354-RUS'];1;"[""fl""]";1;;6000.0;11897.0;182;1
['2000-9496-CUB'];1;"[""dr""]";1;;;;182;1
['2000-0484-BTN'];1;"[""fl"", ""ls""]";2;200.0;1000.0;;182;1
['2000-0475-CMR'];1;"[""fl""]";1;3.0;500.0;;182;1
['2000-0485-DZA'];1;"[""fl""]";1;7.0;;;182;1
['2000-0499-IRN'];1;"[""fl""]";1;8.0;400.0;10197.0;182;1
['2000-0111-MEX'];1;"[""eq""]";1;;1.0;;182;1
['2000-0497-ETH'];1;"[""fl""]";1;9.0;30000.0;;182;1
['2000-0358-IND', '2000-0498-IND'];2;"[""ls"", ""ls""]";2;129.0;;;182;1
['2000-0500-USA'];1;"[""fl"", ""ls""]";2;;175.0;282118.0;182;1
['2000-0511-NGA'];1;"[""fl""]";1;4.0;1000.0;;182;1
['2000-0551-DZA'];1;"[""fl""]";1;;100.0;;182;1
['2000-0518-VNM'];1;"[""ew""]";1;15.0;4.0;8498.0;182;1
['2000-0539-THA'];1;"[""ew""]";1;2.0;41219.0;;182;1
['2000-0559-CHN', '2000-0527-CHN'];2;"[""ls"", ""eq""]";2;15.0;177638.0;77158.0;182;1
['2000-0350-CHN', '2000-0533-CHN'];2;"[""ew"", ""ew""]";2;44.0;4532.0;;182;1
['2000-0534-IND'];1;"[""fl""]";1;179.0;252016.0;294014.0;182;1
['2000-0542-VNM'];1;"[""ew""]";1;;134.0;;182;1
['2000-0540-VNM'];1;"[""ew""]";1;;5730.0;;182;1
['2000-0541-VNM'];1;"[""ew""]";1;;503.0;59.0;182;1
['2000-0530-MLI'];1;"[""fl""]";1;15.0;;;182;1
['2000-0441-KOR', '2000-0535-KOR'];2;"[""fl"", ""fl""]";2;20.0;3089.0;84976.0;182;1
['2000-0550-KOR'];1;"[""ew""]";1;25.0;300.0;19204.0;182;1
['2000-0617-BGD'];1;"[""fl""]";1;31.0;2467138.0;849753.0;182;1
['2000-0607-ARG'];1;"[""ew""]";1;;;;182;1
['2000-0777-THA'];1;"[""fl""]";1;9.0;12500.0;860.0;182;1
['2000-0547-NGA', '2000-0596-NGA'];2;"[""fl"", ""fl""]";2;;2750.0;;182;1
['2000-0627-PAN'];1;"[""fl""]";1;1.0;1000.0;2209.0;182;1
['2000-0583-LAO'];1;"[""fl""]";1;15.0;450000.0;1700.0;182;1
['2000-0598-USA'];1;"[""eq""]";1;;25174.0;84975.0;182;1
['2000-0582-VNM'];1;"[""ew""]";1;5.0;6029.0;35690.0;182;1
['2000-0577-ITA'];1;"[""fl""]";1;16.0;22.0;;182;1
['2000-0606-JPN', '2000-0576-JPN'];2;"[""fl"", ""ls"", ""ew""]";3;27.0;540151.0;15023628.0;182;1
['2000-0576-RUS'];1;"[""ew""]";1;9.0;;85.0;182;1
['2000-0008-GTM', '2000-0299-GTM', '2000-0609-GTM'];3;"[""vo"", ""fl"", ""fl"", ""ls""]";4;;3786.0;;182;1
['2000-0586-PER'];1;"[""ls""]";1;11.0;;;182;1
['2000-0466-BRA', '2000-0590-BRA'];2;"[""ls"", ""fl""]";2;63.0;153000.0;;182;1
['2000-0613-LKA'];1;"[""fl""]";1;2.0;100000.0;;182;1
['2000-0610-IND'];1;"[""fl""]";1;884.0;24600000.0;1175208.0;182;1
['2000-0636-FRA'];1;"[""ew""]";1;6.0;207.0;;182;1
['2000-0067-USA', '2000-0175-USA', '2000-0296-USA', '2000-9339-USA', '2000-0433-USA', '2000-0614-USA'];6;"[""ew"", ""ew"", ""fl"", ""dr"", ""hw"", ""ew""]";6;;;;182;1
['2000-0620-NGA'];1;"[""fl""]";1;;500.0;8166.0;182;1
['2000-0648-COL'];1;"[""fl""]";1;9.0;28000.0;;182;1
['2000-0611-MEX'];1;"[""ew""]";1;8.0;300.0;;182;1
['2000-0621-UGA'];1;"[""ew""]";1;;10000.0;;182;1
['2000-0634-NGA'];1;"[""ls""]";1;17.0;300.0;;182;1
['2000-0628-NGA'];1;"[""fl""]";1;;1000.0;;182;1
['2000-0618-IRN'];1;"[""fl""]";1;2.0;;;182;1
['2000-0683-MYS'];1;"[""ew""]";1;;500.0;;182;1
['2000-0644-NIC'];1;"[""ew""]";1;1.0;2300.0;1700.0;182;1
['2000-0333-MEX', '2000-0643-MEX'];2;"[""fl"", ""ls"", ""ew""]";3;143.0;;;182;1
['2000-0642-BLZ'];1;"[""ew""]";1;14.0;62570.0;471545.0;182;1
['2000-0827-MEX'];1;"[""cw""]";1;66.0;;;182;1
['2000-0650-VEN'];1;"[""fl""]";1;13.0;20004.0;;182;1
['2000-0645-SLV'];1;"[""ew""]";1;1.0;100.0;;182;1
['2000-0653-TZA'];1;"[""eq""]";1;1.0;791.0;;182;1
['2000-0680-VNM'];1;"[""ls""]";1;40.0;17.0;;182;1
['2000-0067-USA', '2000-0175-USA', '2000-0296-USA', '2000-9339-USA', '2000-0652-USA'];5;"[""ew"", ""ew"", ""fl"", ""dr"", ""ew""]";5;;;;182;1
['2000-0656-JPN'];1;"[""eq"", ""ls""]";2;;7132.0;849753.0;182;1
['2000-0875-NIC'];1;"[""ew""]";1;1.0;210.0;;182;1
['2000-0657-AGO'];1;"[""ls""]";1;13.0;;;182;1
['2000-0464-NGA'];1;"[""ew""]";1;;1000.0;;182;1
['2000-0164-RUS', '2000-0165-RUS', '2000-0277-RUS', '2000-0549-RUS', '2000-0705-RUS'];5;"[""ls"", ""cw"", ""cw"", ""fl"", ""cw""]";5;;;;182;1
['2000-0688-NOR'];1;"[""fl""]";1;;600.0;;182;1
['2000-0662-GBR'];1;"[""fl""]";1;;1000.0;10027082.0;182;1
['2000-0666-BRA'];1;"[""fl""]";1;6.0;5000.0;;182;1
['2000-0848-DZA'];1;"[""fl""]";1;9.0;5.0;;182;1
['2000-0672-CHE'];1;"[""ls""]";1;16.0;1500.0;560837.0;182;1
['2000-0671-ITA'];1;"[""fl""]";1;25.0;43000.0;13596043.0;182;1
['2000-0724-ECU'];1;"[""ls""]";1;30.0;180.0;;182;1
['2000-0676-KGZ'];1;"[""cw""]";1;11.0;;;182;1
['2000-0738-IND'];1;"[""fl""]";1;6.0;534035.0;;182;1
['2000-0699-ESP'];1;"[""fl""]";1;8.0;500.0;127463.0;182;1
['2000-0692-DZA'];1;"[""fl""]";1;28.0;100.0;;182;1
['2000-0691-MAR'];1;"[""fl""]";1;;300.0;;182;1
['2000-0257-PHL', '2000-0396-PHL', '2000-0397-PHL', '2000-0597-PHL', '2000-0706-PHL'];5;"[""ew"", ""fl"", ""ew"", ""ew"", ""fl"", ""fl"", ""ew""]";7;257.0;4281974.0;;182;1
['2000-0555-BGD', '2000-0713-BGD'];2;"[""fl"", ""ew""]";2;16.0;12210.0;;182;1
['2000-0714-GBR'];1;"[""ew"", ""fl""]";2;12.0;19504.0;2549258.0;182;1
['2000-0701-IDN'];1;"[""ls""]";1;40.0;56210.0;73079.0;182;1
['2000-0743-TJK'];1;"[""eq""]";1;;6000.0;;182;1
['2000-0708-GRC'];1;"[""fl""]";1;;600.0;;182;1
['2000-0517-TWN', '2000-0706-TWN'];2;"[""ew"", ""ew"", ""fl"", ""ls""]";4;103.0;2102.0;484359.0;182;1
['2000-0870-FRA'];1;"[""fl""]";1;1.0;302.0;;182;1
['2000-0679-IRL'];1;"[""ew""]";1;1.0;;169951.0;182;1
['2000-0722-HTI'];1;"[""fl""]";1;4.0;;;182;1
['2000-0865-USA'];1;"[""fl""]";1;;100.0;33990.0;182;1
['2000-0257-PHL', '2000-0396-PHL', '2000-0397-PHL', '2000-0597-PHL', '2000-0715-PHL'];5;"[""ew"", ""fl"", ""ew"", ""ew"", ""fl"", ""fl"", ""ew""]";7;197.0;3593590.0;;182;1
['2000-0721-IDN'];1;"[""ls""]";1;52.0;19.0;;182;1
['2000-0734-UGA'];1;"[""ew""]";1;;5.0;;182;1
['2000-0763-PHL'];1;"[""ls""]";1;11.0;;;182;1
['2000-0081-COL'];1;"[""eq""]";1;2.0;430.0;;182;1
['2000-0735-VEN'];1;"[""fl""]";1;2.0;7000.0;;182;1
['2000-0749-PNG'];1;"[""eq"", ""ts""]";2;2.0;5000.0;;182;1
['2000-0741-LKA'];1;"[""fl""]";1;3.0;300000.0;5099.0;182;1
['2000-0748-VNM'];1;"[""fl""]";1;36.0;25003.0;25493.0;182;1
['2000-0742-GRC'];1;"[""fl""]";1;1.0;6000.0;;182;1
['2000-0778-SOM'];1;"[""fl""]";1;;150000.0;;182;1
['2000-0756-USA'];1;"[""ew""]";1;;;;182;1
['2000-0774-MYS'];1;"[""fl""]";1;12.0;8000.0;1700.0;182;1
['2000-0755-THA'];1;"[""fl""]";1;51.0;808801.0;97722.0;182;1
['2000-0421-ARG', '2000-0733-ARG', '2000-0776-ARG'];3;"[""cw"", ""fl"", ""fl""]";3;;;;182;1
['2000-0769-AZE'];1;"[""eq""]";1;31.0;3294.0;16995.0;182;1
['2000-0753-MOZ', '2000-0786-MOZ'];2;"[""ew"", ""ew""]";2;14.0;1100.0;;182;1
['2000-0807-MDA'];1;"[""ew""]";1;;2600000.0;53704.0;182;1
['2000-0784-UKR'];1;"[""ew""]";1;4.0;6100.0;203941.0;182;1
['2000-0770-IDN'];1;"[""fl""]";1;100.0;386021.0;57783.0;182;1
['2000-0444-IND', '2000-0445-IND', '2000-0323-IND', '2000-0785-IND'];4;"[""fl"", ""fl"", ""ew"", ""ew""]";4;;;;182;1
['2000-0862-IRN'];1;"[""fl""]";1;;;;182;1
['2000-0788-PHL'];1;"[""ew""]";1;48.0;164093.0;1700.0;182;1
['2000-0842-GBR'];1;"[""ew""]";1;4.0;600.0;;182;1
['2000-0790-TZA'];1;"[""fl""]";1;36.0;1817.0;;182;1
['2000-9495-AZE', '2000-0834-AZE'];2;"[""dr"", ""ls""]";2;;;;182;1
['2000-0797-HTI'];1;"[""fl""]";1;12.0;1200.0;;182;1
['2000-0830-POL'];1;"[""cw""]";1;84.0;;;182;1
['2000-0792-FRA'];1;"[""fl""]";1;;600.0;;182;1
['2000-0449-IDN', '2000-0761-IDN', '2000-0791-IDN'];3;"[""eq"", ""eq"", ""fl"", ""ls""]";4;;49476.0;;182;1
['2000-0814-ESP'];1;"[""ew""]";1;7.0;2.0;;182;1
['2000-0813-PRT'];1;"[""ew""]";1;4.0;70.0;;182;1
['2000-0810-TKM'];1;"[""eq""]";1;11.0;;;182;1
['2000-0806-FJI'];1;"[""fl""]";1;4.0;;;182;1
['2000-0843-AUS'];1;"[""ew""]";1;;750.0;;182;1
['2000-0809-BRA'];1;"[""fl"", ""ls""]";2;13.0;2000.0;;182;1
['2000-0804-MEX'];1;"[""vo""]";1;;41000.0;;182;1
['2000-0819-NGA'];1;"[""ls""]";1;15.0;;;182;1
['2000-0841-MAR'];1;"[""fl""]";1;6.0;650.0;;182;1
['2000-0869-CUB'];1;"[""fl""]";1;2.0;675.0;;182;1
['2000-0840-URY'];1;"[""ew""]";1;;100.0;;182;1
['2000-0835-BDI'];1;"[""fl""]";1;;500.0;;182;1
['2000-0856-GBR'];1;"[""ew""]";1;;;;182;1
['2000-0868-HRV'];1;"[""fl""]";1;;600.0;;182;1
['2000-0868-SCG'];1;"[""fl""]";1;;2000.0;;182;1
['2000-0837-ESP'];1;"[""ew""]";1;7.0;;;182;1
['2000-0847-DZA'];1;"[""ew""]";1;4.0;10.0;;182;1
['2001-9048-MOZ'];1;"[""dr""]";1;;100000.0;;182;1
['2001-0029-BOL'];1;"[""fl""]";1;41.0;357250.0;199988.0;182;1
['2001-0031-GRC'];1;"[""fl""]";1;11.0;450.0;;182;1
['2001-9067-CMR'];1;"[""dr""]";1;;;;182;1
['2001-9854-NAM'];1;"[""dr""]";1;;;;182;1
['2000-0632-ITA', '2000-0752-ITA', '2001-0016-ITA'];3;"[""fl"", ""fl"", ""fl""]";3;;;;182;1
['2001-0018-RUS'];1;"[""cw""]";1;145.0;6120.0;165.0;182;1
['2001-0028-AUS'];1;"[""fl""]";1;1.0;330.0;19834.0;182;1
['2001-0026-PAK'];1;"[""cw""]";1;;;;182;1
['2001-0025-MWI'];1;"[""fl""]";1;59.0;500000.0;11074.0;182;1
['2000-0558-NZL', '2000-0687-NZL', '2001-0779-NZL'];3;"[""fl"", ""ew"", ""hw"", ""dr""]";4;;;;182;1
['2001-0019-MOZ'];1;"[""fl""]";1;79.0;549326.0;59501.0;182;1
['2001-0005-TZA'];1;"[""eq""]";1;;700.0;;182;1
['2000-0441-KOR', '2000-0601-KOR', '2001-0010-KOR'];3;"[""fl"", ""ew"", ""ew""]";3;32.0;3300.0;639064.0;182;1
['2001-0032-KEN'];1;"[""fl""]";1;4.0;;63.0;182;1
['2001-0013-SLV'];1;"[""eq"", ""ls""]";2;844.0;1334529.0;2479192.0;182;1
['2001-0023-GTM'];1;"[""eq""]";1;6.0;152.0;83.0;182;1
['2001-0059-PHL'];1;"[""fl""]";1;2.0;12000.0;;182;1
['2001-0021-AGO'];1;"[""fl""]";1;9.0;5.0;;182;1
['2001-0045-AUS'];1;"[""ew""]";1;1.0;27.0;;182;1
['2000-0428-JPN', '2000-0447-JPN', '2000-0515-JPN', '2001-0085-JPN'];4;"[""eq"", ""ew"", ""vo"", ""ew""]";4;;5300.0;;182;1
['2001-0046-IDN'];1;"[""ls""]";1;63.0;;;182;1
['2001-0047-TZA'];1;"[""ls""]";1;13.0;150.0;;182;1
['2001-0040-PRT'];1;"[""fl"", ""ls""]";2;6.0;200.0;;182;1
['2000-0444-IND', '2000-0445-IND', '2001-0033-IND'];3;"[""fl"", ""fl"", ""eq""]";3;21002.0;;;182;1
['2001-0033-PAK'];1;"[""eq""]";1;12.0;914292.0;826.0;182;1
['2000-0754-ZAF', '2000-0861-ZAF', '2001-0037-ZAF'];3;"[""fl"", ""fl"", ""ew""]";3;24.0;;;182;1
['2000-9531-CHN', '2001-0008-CHN', '2001-9149-CHN'];3;"[""dr"", ""ew"", ""dr""]";3;;8104871.0;;182;1
['2001-0091-ZMB'];1;"[""fl""]";1;5.0;617900.0;;182;1
['2001-0030-AUS', '2001-0087-AUS'];2;"[""ew"", ""fl""]";2;;;;182;1
['2001-0049-LKA'];1;"[""fl""]";1;;160.0;;182;1
['2001-0107-GEO'];1;"[""ew""]";1;;900.0;;182;1
['2001-0732-COD'];1;"[""vo""]";1;;;;182;1
['2001-0041-IDN'];1;"[""ls""]";1;122.0;23000.0;16528.0;182;1
['2001-0131-GBR'];1;"[""fl""]";1;;150.0;;182;1
['2001-0052-CAN'];1;"[""ew""]";1;11.0;30.0;;182;1
['2001-0669-IDN'];1;"[""eq""]";1;;;;182;1
['2000-0595-SLV', '2001-0042-SLV'];2;"[""fl"", ""eq"", ""ls""]";3;317.0;256421.0;;182;1
['2001-0053-CHL'];1;"[""fl""]";1;;2559.0;14710.0;182;1
['2001-0054-PHL'];1;"[""ew""]";1;55.0;100084.0;9917.0;182;1
['2001-0103-AUS'];1;"[""fl""]";1;;670.0;21486.0;182;1
['2001-0104-SYR'];1;"[""ew""]";1;27.0;172.0;;182;1
['2001-0027-AFG', '2001-0086-AFG'];2;"[""cw"", ""eq""]";2;;;;182;1
['2001-0262-USA'];1;"[""fl""]";1;;200.0;;182;1
['2001-0109-TZA'];1;"[""fl""]";1;5.0;200.0;;182;1
