Dis No 1;Dis No 2;Hazard 1;Hazard 2;Start Date 1;End Date 1;Start Date 2;End Date 2;Country 1;Country 2;Magnitude 1;Magnitude 2;Total Deaths 1;Total Deaths 2;Total Deaths 12;Total Affected 1;Total Affected 2;Total Affected 12;Total Damages 1;Total Damages 2;Total Damages 12
2000-0178-MOZ;;ew;;2000-04-02 00:00:00+00:00;2000-04-02 00:00:00+00:00;;;Mozambique;;;;1.0;;;304.0;;;;;
2000-0179-RUS;;fl;;2000-03-01 00:00:00+00:00;;;;Russian Federation (the);;;;;;;19800.0;;;8961.0;;
2000-0187-ROU;2000-0191-HUN;fl;fl;2000-04-05 00:00:00+00:00;2000-04-25 00:00:00+00:00;2000-04-06 00:00:00+00:00;2000-05-01 00:00:00+00:00;Romania;Hungary;932.0;2500.0;9.0;1.0;10.0;60431.0;2000.0;62431.0;169951.0;93473.0;263424.0
2000-0193-AGO;;fl;;2000-04-10 00:00:00+00:00;2000-04-10 00:00:00+00:00;;;Angola;;;;1.0;;;3000.0;;;;;
2000-0200-CHN;;fl;;2000-04-13 00:00:00+00:00;2000-04-17 00:00:00+00:00;;;China;;21000.0;;15.0;;;40000.0;;;20394.0;;
2000-0206-ECU;;ls;;2000-04-12 00:00:00+00:00;2000-04-12 00:00:00+00:00;;;Ecuador;;;;14.0;;;205.0;;;;;
2000-0229-BGD;2000-0211-BGD;ew;ew;2000-04-11 00:00:00+00:00;2000-04-11 00:00:00+00:00;2000-04-21 00:00:00+00:00;2000-04-21 00:00:00+00:00;Bangladesh;Bangladesh;80.0;120.0;;20.0;;7012.0;62800.0;69812.0;;;
2000-0216-GUF;;ls;;2000-04-19 00:00:00+00:00;2000-04-19 00:00:00+00:00;;;French Guiana;;;;10.0;;;5.0;;;;;
2000-0230-IDN;;eq;ts;2000-05-04 00:00:00+00:00;2000-05-04 00:00:00+00:00;;;Indonesia;Indonesia;8.0;;;;45.0;;;52770.0;;;50985.0
2000-0248-GBR;;fl;;2000-04-27 00:00:00+00:00;2000-04-27 00:00:00+00:00;;;United Kingdom of Great Britain and Northern Ireland (the);;;;;;;200.0;;;;;
2000-0255-ARG;;fl;;2000-05-15 00:00:00+00:00;2000-05-15 00:00:00+00:00;;;Argentina;;;;4.0;;;30040.0;;;;;
