Dis No 1;Dis No 2;Hazard 1;Hazard 2;Start Date 1;End Date 1;Start Date 2;End Date 2;Country 1;Country 2;Magnitude 1;Magnitude 2;Total Deaths 1;Total Deaths 2;Total Deaths 12;Total Affected 1;Total Affected 2;Total Affected 12;Total Damages 1;Total Damages 2;Total Damages 12
2009-0156-AFG;;eq;;2009-04-16 00:00:00+00:00;2009-04-16 00:00:00+00:00;;;Afghanistan;;5.0;;22.0;;;3309.0;;;;;
2009-0175-IND;2009-0157-BGD;hw;ew;2009-04-14 00:00:00+00:00;2009-06-26 00:00:00+00:00;2009-04-19 00:00:00+00:00;2009-04-20 00:00:00+00:00;India;Bangladesh;48.0;100.0;120.0;7.0;127.0;25.0;19209.0;19234.0;;;
2009-0159-BEN;;ew;;2009-05-01 00:00:00+00:00;;;;Benin;;;;;;;800.0;;;;;
2009-0160-CAF;;ew;;2009-03-23 00:00:00+00:00;;;;Central African Republic;;;;;;;10500.0;;;;;
2009-0170-GAB;;ew;fl;2009-04-05 00:00:00+00:00;2009-04-06 00:00:00+00:00;;;Gabon;Gabon;;;;;;;;800.0;;;
2009-0171-VUT;;fl;ls;2009-04-15 00:00:00+00:00;2009-04-15 00:00:00+00:00;;;Vanuatu;Vanuatu;;;;;;;;950.0;;;
2009-0184-USA;;fl;ls;2009-05-03 00:00:00+00:00;2009-05-10 00:00:00+00:00;;;United States of America (the);United States of America (the);16460.0;;;;;;;900.0;;;
2009-0189-CAN;;fl;;2009-04-01 00:00:00+00:00;2009-04-09 00:00:00+00:00;;;Canada;;20490.0;;;;;200.0;;;;;
2009-0190-USA;;fl;;2009-04-06 00:00:00+00:00;2009-04-09 00:00:00+00:00;;;United States of America (the);;82060.0;;;;;1000.0;;;;;
2009-0193-PHL;;ew;;2009-05-15 00:00:00+00:00;2009-05-15 00:00:00+00:00;;;Philippines (the);;;;;;;100.0;;;7.0;;
2009-0194-PHL;;fl;;2009-05-18 00:00:00+00:00;2009-05-18 00:00:00+00:00;;;Philippines (the);;;;;;;34325.0;;;;;
2009-0198-HTI;;fl;;2009-05-15 00:00:00+00:00;2009-05-21 00:00:00+00:00;;;Haiti;;5754.0;;11.0;;;9910.0;;;;;
2009-0205-HND;;eq;ls;2009-05-28 00:00:00+00:00;2009-05-28 00:00:00+00:00;;;Honduras;Honduras;7.0;;;;7.0;;;50136.0;;;136412.0
2009-0211-PNG;;ls;;2009-05-26 00:00:00+00:00;2009-05-26 00:00:00+00:00;;;Papua New Guinea;;;;19.0;;;;;;;;
2009-0227-CHN;;fl;;2009-07-01 00:00:00+00:00;;;;China;;;;11.0;;;;;;;;
2009-0230-AUS;;ew;fl;2009-05-19 00:00:00+00:00;2009-05-28 00:00:00+00:00;;;Australia;Australia;130.0;;;;1.0;;;15000.0;;;81847.0
;2009-0233-BWA;;fl;;;2009-05-10 00:00:00+00:00;2009-07-01 00:00:00+00:00;;Botswana;;571700.0;;;;;3789.0;;;;
2009-0238-BRA;;fl;;2009-06-20 00:00:00+00:00;2009-06-21 00:00:00+00:00;;;Brazil;;;;;;;18000.0;;;;;
2009-0252-GMB;;ew;;2009-07-02 00:00:00+00:00;2009-07-02 00:00:00+00:00;;;Gambia (the);;;;;;;2350.0;;;;;
2009-0254-CAF;;fl;;2009-07-03 00:00:00+00:00;2009-07-10 00:00:00+00:00;;;Central African Republic;;;;1.0;;;11000.0;;;;;
2009-0261-ZAF;;fl;;2009-07-12 00:00:00+00:00;2009-07-16 00:00:00+00:00;;;South Africa;;32700.0;;11.0;;;20000.0;;;;;
2009-0262-TUR;;fl;ls;2009-07-10 00:00:00+00:00;2009-07-16 00:00:00+00:00;;;Turkey;Turkey;26430.0;;;;7.0;;;111.0;;;
2009-0266-PAK;;fl;;2009-07-17 00:00:00+00:00;2009-07-19 00:00:00+00:00;;;Pakistan;;10370.0;;52.0;;;70.0;;;;;
2009-0267-PHL;;fl;;2009-07-17 00:00:00+00:00;2009-07-17 00:00:00+00:00;;;Philippines (the);;;;;;;920.0;;;;;
2009-0268-BIH;;fl;;2009-07-07 00:00:00+00:00;2009-07-15 00:00:00+00:00;;;Bosnia and Herzegovina;;6061.0;;;;;1100.0;;;;;
2009-0269-MNG;;fl;ls;2009-07-16 00:00:00+00:00;2009-07-26 00:00:00+00:00;;;Mongolia;Mongolia;;;;;26.0;;;15000.0;;;128.0
2009-0276-JPN;;ls;;2009-07-26 00:00:00+00:00;2009-07-27 00:00:00+00:00;;;Japan;;;;28.0;;;;;;;;
2009-0279-AUT;;fl;;2009-07-16 00:00:00+00:00;2009-07-19 00:00:00+00:00;;;Austria;;2765.0;;;;;;;;;;
2009-0285-CHN;;ls;;2009-07-22 00:00:00+00:00;2009-07-22 00:00:00+00:00;;;China;;;;23.0;;;;;;;;
2009-0299-CHN;;ew;;2009-08-04 00:00:00+00:00;2009-08-04 00:00:00+00:00;;;China;;;;17.0;;;3.0;;;;;
2009-0301-PER;;cw;;2009-05-01 00:00:00+00:00;;;;Peru;;;;274.0;;;24262.0;;;;;
2009-0308-GIN;;fl;;2009-08-03 00:00:00+00:00;2009-08-03 00:00:00+00:00;;;Guinea;;;;2.0;;;40000.0;;;;;
2009-0265-PHL;2009-0311-PHL;ew;fl;2009-07-18 00:00:00+00:00;2009-07-18 00:00:00+00:00;2009-08-05 00:00:00+00:00;2009-08-05 00:00:00+00:00;Philippines (the);Philippines (the);;;5.0;;;248058.0;1578.0;249636.0;;;
2009-0315-IND;;ls;;2009-08-08 00:00:00+00:00;2009-08-08 00:00:00+00:00;;;India;;;;45.0;;;;;;;;
2009-0322-NIC;;fl;;2009-07-31 00:00:00+00:00;2009-07-31 00:00:00+00:00;;;Nicaragua;;;;;;;6821.0;;;;;
2009-0332-SLE;;fl;ls;2009-08-13 00:00:00+00:00;2009-08-20 00:00:00+00:00;;;Sierra Leone;Sierra Leone;;;;;103.0;;;1470.0;;;
2009-0335-PAK;;fl;;2009-08-15 00:00:00+00:00;2009-08-17 00:00:00+00:00;;;Pakistan;;30560.0;;36.0;;;75000.0;;;;;
2009-0336-LKA;;fl;;2009-08-15 00:00:00+00:00;2009-08-16 00:00:00+00:00;;;Sri Lanka;;;;;;;20000.0;;;;;
2009-0346-YEM;;ls;;2009-08-27 00:00:00+00:00;2009-08-27 00:00:00+00:00;;;Yemen;;;;11.0;;;;;;;;
2009-0344-SEN;2009-0350-MRT;fl;fl;2009-08-24 00:00:00+00:00;2009-08-25 00:00:00+00:00;2009-08-28 00:00:00+00:00;2009-08-29 00:00:00+00:00;Senegal;Mauritania;8511.0;;6.0;1.0;7.0;264000.0;10000.0;274000.0;;;
2009-0355-TUR;;fl;;2009-09-07 00:00:00+00:00;2009-09-10 00:00:00+00:00;;;Turkey;;3167.0;;40.0;;;35020.0;;;750268.0;;
2009-0366-ALB;;eq;;2009-09-07 00:00:00+00:00;2009-09-07 00:00:00+00:00;;;Albania;;6.0;;;;;150.0;;;;;
2009-0367-MEX;;fl;;2009-09-01 00:00:00+00:00;2009-09-10 00:00:00+00:00;;;Mexico;;34560.0;;4.0;;;1500.0;;;;;
2009-0375-NGA;;fl;;2009-09-10 00:00:00+00:00;2009-09-18 00:00:00+00:00;;;Nigeria;;64200.0;;;;;150000.0;;;;;
2009-0376-GHA;;fl;;2009-09-17 00:00:00+00:00;2009-09-21 00:00:00+00:00;;;Ghana;;73810.0;;24.0;;;139790.0;;;;;
2009-0377-MEX;;fl;ls;2009-09-10 00:00:00+00:00;2009-09-19 00:00:00+00:00;;;Mexico;Mexico;;;;;3.0;;;18000.0;;;
2009-0379-SDN;;fl;;2009-08-16 00:00:00+00:00;2009-08-26 00:00:00+00:00;;;Sudan (the);;59850.0;;20.0;;;111455.0;;;;;
2009-0385-AFG;;fl;;2009-09-03 00:00:00+00:00;2009-09-03 00:00:00+00:00;;;Afghanistan;;;;11.0;;;;;;;;
2009-0388-GEO;;eq;;2009-09-07 00:00:00+00:00;2009-09-07 00:00:00+00:00;;;Georgia;;6.0;;;;;7306.0;;;;;
2009-0394-DZA;;fl;;2009-09-10 00:00:00+00:00;2009-09-13 00:00:00+00:00;;;Algeria;;;;15.0;;;;;;;;
2009-0399-CHN;;ew;fl;2009-09-14 00:00:00+00:00;2009-09-14 00:00:00+00:00;;;China;China;126.0;;;;13.0;;;1000058.0;;;402418.0
2009-0405-USA;;fl;;2009-09-20 00:00:00+00:00;2009-09-21 00:00:00+00:00;;;United States of America (the);;;;9.0;;;3000.0;;;682061.0;;
2009-0406-BTN;;eq;;2009-09-21 00:00:00+00:00;2009-09-21 00:00:00+00:00;;;Bhutan;;8.0;;11.0;;;12.0;;;;;
2009-0409-IND;;fl;;2009-07-01 00:00:00+00:00;;;;India;;;;992.0;;;1886000.0;;;300107.0;;
2009-0412-TUN;;fl;;2009-09-22 00:00:00+00:00;2009-09-23 00:00:00+00:00;;;Tunisia;;;;17.0;;;8.0;;;;;
2009-0418-HTI;;fl;ls;2009-09-18 00:00:00+00:00;2009-09-18 00:00:00+00:00;;;Haiti;Haiti;;;;;;;;296.0;;;
2009-0425-AZE;;fl;;2009-09-21 00:00:00+00:00;2009-09-21 00:00:00+00:00;;;Azerbaijan;;;;;;;5000.0;;;;;
2009-0428-ITA;;fl;ls;2009-10-01 00:00:00+00:00;2009-10-06 00:00:00+00:00;;;Italy;Italy;1227.0;;;;35.0;;;5140.0;;;27282.0
2009-0383-IND;2009-0429-IND;ls;fl;2009-09-03 00:00:00+00:00;2009-09-03 00:00:00+00:00;2009-09-25 00:00:00+00:00;2009-10-12 00:00:00+00:00;India;India;;309700.0;10.0;355.0;365.0;;4100000.0;;;2932864.0;
2009-0433-TCD;;fl;;2009-09-12 00:00:00+00:00;2009-09-14 00:00:00+00:00;;;Chad;;;;3.0;;;4895.0;;;;;
2009-0434-NPL;;fl;ls;2009-10-04 00:00:00+00:00;2009-10-12 00:00:00+00:00;;;Nepal;Nepal;129700.0;;;;87.0;;;257786.0;;;81847.0
2009-0436-IDN;;fl;;2009-10-08 00:00:00+00:00;2009-10-08 00:00:00+00:00;;;Indonesia;;;;;;;2500.0;;;;;
2009-0444-BFA;;fl;;2009-09-01 00:00:00+00:00;2009-09-01 00:00:00+00:00;;;Burkina Faso;;;;9.0;;;151000.0;;;204618.0;;
2009-0356-ARG-BRA-PRY;2009-0450-PRY;ew;fl;2009-09-09 00:00:00+00:00;2009-09-09 00:00:00+00:00;2009-09-22 00:00:00+00:00;2009-10-23 00:00:00+00:00;Argentina-Brazil-Paraguay;Paraguay;;163300.0;14.0;;;3088.0;12035.0;15123.0;0.0;1119.0;1119.0
2009-0468-BEN;;fl;;2009-08-01 00:00:00+00:00;;;;Benin;;;;3.0;;;59419.0;;;;;
2009-0469-HTI;;fl;ls;2009-10-20 00:00:00+00:00;2009-10-20 00:00:00+00:00;;;Haiti;Haiti;;;;;10.0;;;2500.0;;;
2009-0479-IDN;;eq;;2009-11-08 00:00:00+00:00;2009-11-08 00:00:00+00:00;;;Indonesia;;8.0;;2.0;;;1510.0;;;3315.0;;
2009-0483-IND;;fl;ls;2009-11-03 00:00:00+00:00;2009-11-08 00:00:00+00:00;;;India;India;35730.0;;;;70.0;;;8.0;;;87304.0
2009-0484-TZA;;fl;ls;2009-11-10 00:00:00+00:00;2009-11-13 00:00:00+00:00;;;Tanzania, United Republic of;Tanzania, United Republic of;194800.0;;;;20.0;;;;;;
2009-0489-IRQ;;fl;ls;2009-10-30 00:00:00+00:00;2009-11-02 00:00:00+00:00;;;Iraq;Iraq;;;;;2.0;;;3000.0;;;
2009-0493-IRN;;eq;;2009-11-03 00:00:00+00:00;2009-11-03 00:00:00+00:00;;;Iran (Islamic Republic of);;5.0;;;;;269.0;;;;;
2009-0487-CHN;2009-0499-CHN;ew;ew;2009-11-09 00:00:00+00:00;2009-11-12 00:00:00+00:00;2009-11-11 00:00:00+00:00;2009-11-14 00:00:00+00:00;China;China;;;41.0;;;10000096.0;1197799.0;11197895.0;1405047.0;27087.0;1432134.0
2009-0500-CHN;;ls;;2009-11-17 00:00:00+00:00;2009-11-17 00:00:00+00:00;;;China;;;;23.0;;;;;;;;
2009-0501-LKA;;fl;;2009-11-21 00:00:00+00:00;2009-11-22 00:00:00+00:00;;;Sri Lanka;;;;;;;60000.0;;;;;
2009-0506-GBR;;ew;fl;2009-11-13 00:00:00+00:00;2009-12-04 00:00:00+00:00;;;United Kingdom of Great Britain and Northern Ireland (the);United Kingdom of Great Britain and Northern Ireland (the);160.0;;;;2.0;;;180.0;;;
2009-0507-TUR;;ls;ls;2009-11-21 00:00:00+00:00;2009-11-22 00:00:00+00:00;;;Turkey;Turkey;15630.0;;;;4.0;;;;;;
;2009-0509-ARG;;fl;;;2009-11-14 00:00:00+00:00;2009-11-22 00:00:00+00:00;;Argentina;;415000.0;;7.0;;;30618.0;;;;
2009-0512-BRA;;fl;ls;2009-11-12 00:00:00+00:00;2009-11-13 00:00:00+00:00;;;Brazil;Brazil;47900.0;;;;3.0;;;200.0;;;
2009-0521-PHL;;ew;ls;2009-11-25 00:00:00+00:00;2009-11-25 00:00:00+00:00;;;Philippines (the);Philippines (the);;;;;4.0;;;48142.0;;;16.0
2009-0522-SAU;;fl;;2009-11-24 00:00:00+00:00;2009-11-26 00:00:00+00:00;;;Saudi Arabia;;114600.0;;161.0;;;10000.0;;;1227711.0;;
2009-0523-MLI;;fl;;2009-05-01 00:00:00+00:00;;;;Mali;;;;25.0;;;20406.0;;;;;
2009-0530-SRB;;fl;ls;2009-11-06 00:00:00+00:00;2009-11-07 00:00:00+00:00;;;Serbia;Serbia;;;;;;;;3210.0;;;
2009-0540-IDN;;fl;;2009-12-08 00:00:00+00:00;2009-12-08 00:00:00+00:00;;;Indonesia;;;;6.0;;;704.0;;;;;
2009-0544-COD;;fl;;2009-11-16 00:00:00+00:00;2009-11-16 00:00:00+00:00;;;Congo (the Democratic Republic of the);;;;;;;5000.0;;;;;
2009-0550-AGO;;fl;;2009-12-10 00:00:00+00:00;2009-12-10 00:00:00+00:00;;;Angola;;;;;;;4650.0;;;;;
2009-0551-LKA;;fl;;2009-12-14 00:00:00+00:00;2009-12-16 00:00:00+00:00;;;Sri Lanka;;15650.0;;3.0;;;300000.0;;;;;
2009-0553-VUT;;vo;;2009-11-26 00:00:00+00:00;2009-11-26 00:00:00+00:00;;;Vanuatu;;;;;;;400.0;;;;;
2009-0554-FJI;;ew;fl;2009-12-14 00:00:00+00:00;2009-12-15 00:00:00+00:00;;;Fiji;Fiji;100.0;;;;2.0;;;3845.0;;;18143.0
2009-0555-PAN;;fl;ls;2009-11-23 00:00:00+00:00;2009-11-23 00:00:00+00:00;;;Panama;Panama;;;;;;;;4248.0;;;
2009-0560-BRA;;fl;;2009-11-02 00:00:00+00:00;2009-11-02 00:00:00+00:00;;;Brazil;;;;;;;680000.0;;;;;
2009-0561-MEX;;fl;;2009-10-02 00:00:00+00:00;2009-10-02 00:00:00+00:00;;;Mexico;;;;10.0;;;13014.0;;;;;
2009-0569-PER;;ls;;2009-12-16 00:00:00+00:00;2009-12-16 00:00:00+00:00;;;Peru;;;;59.0;;;1153.0;;;;;
2009-0547-MWI;2009-0573-MWI;eq;eq;2009-12-08 00:00:00+00:00;2009-12-08 00:00:00+00:00;2009-12-20 00:00:00+00:00;2009-12-20 00:00:00+00:00;Malawi;Malawi;6.0;6.0;1.0;3.0;4.0;15015.0;5721.0;20736.0;;;
2009-0586-ARG;;fl;;2009-12-28 00:00:00+00:00;2009-12-28 00:00:00+00:00;;;Argentina;;;;2.0;;;3510.0;;;;;
2009-0589-AUS;;fl;;2009-12-25 00:00:00+00:00;2009-12-28 00:00:00+00:00;;;Australia;;149300.0;;;;;200.0;;;;;
2009-0590-MAR;;fl;;2009-12-25 00:00:00+00:00;2009-12-26 00:00:00+00:00;;;Morocco;;157500.0;;5.0;;;7520.0;;;;;
2009-0612-LAO;;fl;;2009-08-10 00:00:00+00:00;2009-08-11 00:00:00+00:00;;;Lao People's Democratic Republic (the);;24950.0;;10.0;;;;;;;;
2009-0614-MEX;;fl;;2009-07-14 00:00:00+00:00;2009-07-16 00:00:00+00:00;;;Mexico;;51610.0;;11.0;;;;;;;;
2009-0607-MNE;2009-0631-ALB;fl;fl;2009-12-25 00:00:00+00:00;2010-01-10 00:00:00+00:00;2009-12-27 00:00:00+00:00;2010-01-08 00:00:00+00:00;Montenegro;Albania;;;;;;450.0;6600.0;7050.0;;;
2009-0637-COL;;ls;;2009-07-23 00:00:00+00:00;2009-07-23 00:00:00+00:00;;;Colombia;;;;30.0;;;7.0;;;;;
2009-0638-IND;;fl;;2009-08-26 00:00:00+00:00;2009-08-28 00:00:00+00:00;;;India;;;;52.0;;;;;;;;
2009-0660-PER;;fl;ls;2009-12-01 00:00:00+00:00;;;;Peru;Peru;135300.0;;;;158.0;;;236308.0;;;
2009-9283-CHN;;dr;;2009-06-01 00:00:00+00:00;;;;China;;;;;;;160000.0;;;;;
2009-9323-IND;;dr;;2009-07-01 00:00:00+00:00;;;;India;;;;;;;;;;;;
2010-0002-TJK;;eq;;2010-01-02 00:00:00+00:00;2010-01-02 00:00:00+00:00;;;Tajikistan;;5.0;;;;;7840.0;;;2013.0;;
2010-0012-PAK;;ls;;2010-01-04 00:00:00+00:00;2010-01-04 00:00:00+00:00;;;Pakistan;;;;19.0;;;26700.0;;;24158.0;;
2010-0017-HTI;;eq;;2010-01-12 00:00:00+00:00;2010-01-12 00:00:00+00:00;;;Haiti;;7.0;;222570.0;;;3700000.0;;;10736894.0;;
2010-0018-IRN;;eq;;2010-01-16 00:00:00+00:00;2010-01-17 00:00:00+00:00;;;Iran (Islamic Republic of);;5.0;;;;;750.0;;;;;
2010-0020-PHL;;fl;ls;2010-01-14 00:00:00+00:00;2010-01-17 00:00:00+00:00;;;Philippines (the);Philippines (the);;;;;2.0;;;40198.0;;;30.0
2010-0021-EGY;;fl;;2010-01-18 00:00:00+00:00;2010-01-19 00:00:00+00:00;;;Egypt;;226100.0;;12.0;;;3500.0;;;;;
2010-0023-BOL;;fl;;2010-01-01 00:00:00+00:00;2010-01-13 00:00:00+00:00;;;Bolivia (Plurinational State of);;102200.0;;26.0;;;227860.0;;;;;
2010-0026-IDN;;fl;;2010-01-11 00:00:00+00:00;2010-01-11 00:00:00+00:00;;;Indonesia;;;;5.0;;;28500.0;;;;;
2009-0599-USA;2010-0027-USA;ew;eq;2009-12-23 00:00:00+00:00;2009-12-25 00:00:00+00:00;2010-01-10 00:00:00+00:00;2010-01-10 00:00:00+00:00;United States of America (the);United States of America (the);;7.0;19.0;;;;630.0;;;16776.0;
2010-0028-PAN;;fl;;2010-01-11 00:00:00+00:00;2010-01-13 00:00:00+00:00;;;Panama;;23340.0;;;;;1000.0;;;;;
2010-0033-PHL;;fl;;2010-01-17 00:00:00+00:00;2010-01-17 00:00:00+00:00;;;Philippines (the);;;;1.0;;;15480.0;;;;;
2010-0034-IDN;;fl;;2010-01-22 00:00:00+00:00;2010-01-22 00:00:00+00:00;;;Indonesia;;;;10.0;;;355.0;;;;;
;2010-0045-USA;;ew;;;2010-02-05 00:00:00+00:00;2010-02-11 00:00:00+00:00;;United States of America (the);;;;2.0;;;;;;2684223.0;
2010-0048-AFG;;ls;;2010-02-06 00:00:00+00:00;2010-02-09 00:00:00+00:00;;;Afghanistan;;;;169.0;;;130.0;;;;;
2010-0050-RUS;;cw;;2010-01-01 00:00:00+00:00;2010-01-26 00:00:00+00:00;;;Russian Federation (the);;-30.0;;13.0;;;;;;;;
2009-0595-IND;2010-0052-IND;cw;ls;2010-01-02 00:00:00+00:00;2010-01-13 00:00:00+00:00;2010-02-08 00:00:00+00:00;2010-02-08 00:00:00+00:00;India;India;-9.0;;100.0;17.0;117.0;;;;;;
2010-0057-BRA;;hw;;2010-02-01 00:00:00+00:00;;;;Brazil;;46.0;;32.0;;;;;;;;
2010-0065-PER;;fl;;2010-02-10 00:00:00+00:00;2010-02-17 00:00:00+00:00;;;Peru;;305800.0;;20.0;;;80000.0;;;;;
2010-0066-AUS;;fl;;2010-02-13 00:00:00+00:00;2010-02-16 00:00:00+00:00;;;Australia;;311900.0;;;;;;;;;;
2010-0075-IDN;;fl;ls;2010-02-23 00:00:00+00:00;2010-03-01 00:00:00+00:00;;;Indonesia;Indonesia;;;;;44.0;;;100.0;;;
2010-0084-UGA;;ls;;2010-02-25 00:00:00+00:00;2010-03-01 00:00:00+00:00;;;Uganda;;;;388.0;;;12795.0;;;;;
2010-0087-CHN;;eq;;2010-02-25 00:00:00+00:00;2010-02-25 00:00:00+00:00;;;China;;5.0;;;;;50011.0;;;;;
;2010-0089-USA;;ew;;;2010-02-23 00:00:00+00:00;2010-02-28 00:00:00+00:00;;United States of America (the);;151.0;;1.0;;;;;;671056.0;
2010-0091-CHL;;ts;ts;2010-02-27 00:00:00+00:00;2010-02-27 00:00:00+00:00;;;Chile;Chile;9.0;;;;562.0;;;2671556.0;;;40263352.0
2010-0092-HTI;;fl;ls;2010-02-18 00:00:00+00:00;2010-03-02 00:00:00+00:00;;;Haiti;Haiti;3836.0;;;;27.0;;;22085.0;;;
2010-0093-TUR;;eq;;2010-03-08 00:00:00+00:00;2010-03-08 00:00:00+00:00;;;Turkey;;6.0;;51.0;;;3600.0;;;;;
2010-0097-MOZ;;fl;;2010-02-22 00:00:00+00:00;2010-03-11 00:00:00+00:00;;;Mozambique;;26370.0;;5.0;;;17000.0;;;;;
2010-0101-SRB;;fl;;2010-03-01 00:00:00+00:00;2010-03-02 00:00:00+00:00;;;Serbia;;46900.0;;;;;3150.0;;;;;
2010-0103-AUS;;fl;;2010-02-28 00:00:00+00:00;2010-03-17 00:00:00+00:00;;;Australia;;431681.0;;;;;;;;146290.0;;
2010-0106-FJI;;ew;fl;2010-03-14 00:00:00+00:00;2010-03-16 00:00:00+00:00;;;Fiji;Fiji;250.0;;;;2.0;;;39101.0;;;52915.0
2010-0112-MAR;;fl;ls;2010-03-09 00:00:00+00:00;2010-03-09 00:00:00+00:00;;;Morocco;Morocco;;;;;10.0;;;2006.0;;;
2010-0115-ETH;;fl;;2010-03-01 00:00:00+00:00;2010-03-11 00:00:00+00:00;;;Ethiopia;;;;;;;55700.0;;;;;
2010-0116-ZMB;2010-0119-ZWE;fl;fl;2010-03-01 00:00:00+00:00;2010-03-17 00:00:00+00:00;2010-03-04 00:00:00+00:00;2010-03-04 00:00:00+00:00;Zambia;Zimbabwe;85510.0;;;;;1200.0;820.0;2020.0;;;
2010-0120-AUS;;ew;;2010-03-21 00:00:00+00:00;2010-03-21 00:00:00+00:00;;;Australia;;200.0;;1.0;;;;;;;;
2010-0126-AGO;;fl;;2010-03-21 00:00:00+00:00;2010-03-22 00:00:00+00:00;;;Angola;;;;;;;75000.0;;;;;
2010-0127-MWI;;fl;;2010-03-22 00:00:00+00:00;2010-03-22 00:00:00+00:00;;;Malawi;;;;;;;21290.0;;;;;
2010-0128-NAM;;fl;;2010-03-24 00:00:00+00:00;2010-03-24 00:00:00+00:00;;;Namibia;;64630.0;;8.0;;;110000.0;;;;;
2010-0129-AFG;;ls;;2010-03-02 00:00:00+00:00;2010-03-02 00:00:00+00:00;;;Afghanistan;;;;35.0;;;;;;;;
2010-0133-COD;;fl;;2010-03-17 00:00:00+00:00;2010-03-17 00:00:00+00:00;;;Congo (the Democratic Republic of the);;;;;;;67500.0;;;;;
2010-0146-RWA;;ls;;2010-03-26 00:00:00+00:00;2010-03-31 00:00:00+00:00;;;Rwanda;;;;14.0;;;5937.0;;;;;
2010-0147-BRA;;fl;ls;2010-04-04 00:00:00+00:00;2010-04-12 00:00:00+00:00;;;Brazil;Brazil;;;;;256.0;;;74938.0;;;268422.0
2010-0153-RUS;;fl;;2010-03-22 00:00:00+00:00;2010-03-26 00:00:00+00:00;;;Russian Federation (the);;;;;;;3250.0;;;;;
2010-0156-PER;;ls;;2010-04-01 00:00:00+00:00;2010-04-06 00:00:00+00:00;;;Peru;;;;68.0;;;1054.0;;;;;
2010-0158-MEX;;eq;;2010-04-04 00:00:00+00:00;2010-04-04 00:00:00+00:00;;;Mexico;;7.0;;2.0;;;25232.0;;;1543429.0;;
2010-0166-GAB;;ew;;2010-04-17 00:00:00+00:00;2010-04-18 00:00:00+00:00;;;Gabon;;;;;;;1765.0;;;;;
2010-0169-CHN;;eq;;2010-04-14 00:00:00+00:00;2010-04-14 00:00:00+00:00;;;China;;7.0;;2968.0;;;112000.0;;;671056.0;;
2010-0170-ISL;;vo;fl;2010-03-01 00:00:00+00:00;;;;Iceland;Iceland;;;;;;;;;;;
2010-0176-AFG;;fl;;2010-05-05 00:00:00+00:00;2010-05-08 00:00:00+00:00;;;Afghanistan;;65810.0;;70.0;;;40000.0;;;;;
2010-0183-YEM;;fl;;2010-05-05 00:00:00+00:00;2010-05-05 00:00:00+00:00;;;Yemen;;38890.0;;7.0;;;1002.0;;;;;
2010-0191-LKA;;fl;;2010-05-14 00:00:00+00:00;2010-05-20 00:00:00+00:00;;;Sri Lanka;;19210.0;;28.0;;;606072.0;;;140922.0;;
2010-0199-RWA;;ls;;2010-05-16 00:00:00+00:00;2010-05-16 00:00:00+00:00;;;Rwanda;;;;7.0;;;;;;;;
2010-0204-AZE;;fl;ls;2010-05-04 00:00:00+00:00;2010-05-13 00:00:00+00:00;;;Azerbaijan;Azerbaijan;;;;;3.0;;;70000.0;;;
;2010-0205-BGD;;ew;;;2010-04-17 00:00:00+00:00;2010-04-17 00:00:00+00:00;;Bangladesh;;;;3.0;;;10000.0;;;;
2010-0206-IND;;hw;;2010-03-01 00:00:00+00:00;;;;India;;49.0;;250.0;;;;;;;;
2010-0210-PAK;;ew;fl;2010-06-06 00:00:00+00:00;2010-06-07 00:00:00+00:00;;;Pakistan;Pakistan;;;;;23.0;;;4000.0;;;107369.0
2010-0217-SVK;;fl;;2010-06-01 00:00:00+00:00;2010-06-02 00:00:00+00:00;;;Slovakia;;;;3.0;;;650.0;;;;;
2010-0233-FRA;;fl;ls;2010-06-15 00:00:00+00:00;2010-06-16 00:00:00+00:00;;;France;France;7700.0;;;;25.0;;;;;;2013168.0
2010-0238-IDN;;eq;ls;2010-06-16 00:00:00+00:00;2010-06-16 00:00:00+00:00;;;Indonesia;Indonesia;7.0;;;;17.0;;;4600.0;;;
2010-0246-GHA;;fl;;2010-06-20 00:00:00+00:00;2010-07-05 00:00:00+00:00;;;Ghana;;;;45.0;;;7500.0;;;;;
2010-0248-BRA;;fl;ls;2010-06-19 00:00:00+00:00;2010-06-23 00:00:00+00:00;;;Brazil;Brazil;;;;;72.0;;;157000.0;;;807951.0
2010-0255-CIV;;fl;ls;2010-06-24 00:00:00+00:00;2010-06-27 00:00:00+00:00;;;Côte d’Ivoire;Côte d’Ivoire;;;;;8.0;;;;;;
2010-0260-MEX;;ew;fl;2010-06-30 00:00:00+00:00;2010-07-07 00:00:00+00:00;;;Mexico;Mexico;135.0;;;;22.0;;;170000.0;;;2684223.0
2010-0267-PAN;;fl;ls;2010-06-15 00:00:00+00:00;;;;Panama;Panama;;;;;;;;1035.0;;;
2010-0270-ECU;;fl;;2010-04-06 00:00:00+00:00;2010-04-06 00:00:00+00:00;;;Ecuador;;;;2.0;;;6440.0;;;;;
2010-0273-NIC;;fl;;2010-05-26 00:00:00+00:00;2010-06-03 00:00:00+00:00;;;Nicaragua;;;;;;;4860.0;;;;;
2010-0274-ECU;;vo;;2010-05-28 00:00:00+00:00;2010-05-28 00:00:00+00:00;;;Ecuador;;;;;;;2500.0;;;;;
